USER_ID,PRODUCT_ID,GENDER,AGE,OCCUPATION,CITY_CATEGORY,STAY_IN_CURRENT_CITY_YEARS,MARITAL_STATUS,PURCHASE
1000724,P00300042,M,51-55,13,B,2,1,12832
1000802,P00327342,M,26-35,16,B,1,0,20631
1000828,P00279442,M,18-25,4,C,2,0,12180
1000830,P00018542,M,36-45,7,A,3,0,20892
1000746,P00259942,F,18-25,19,B,3,0,8350
1000752,P00298442,F,26-35,3,A,3,0,8334
1000752,P00288642,F,26-35,3,A,3,0,8526
1000704,P00298442,F,36-45,8,C,2,0,16481
1000710,P00263542,M,26-35,20,A,4+,0,16411
1000712,P00279442,M,26-35,0,B,2,0,12851
1000844,P00255842,M,26-35,0,B,3,1,16394
1000850,P00199642,M,36-45,0,A,3,1,12698
1000854,P00302642,F,26-35,16,B,1,0,12636
1000922,P00288642,M,55+,16,B,2,1,16728
1000970,P00285042,M,26-35,0,B,4+,1,12792
1000970,P00257442,M,26-35,0,B,4+,1,8294
1000976,P00300042,M,36-45,14,C,4+,1,16562
1000984,P00246942,M,51-55,16,A,2,1,10714
1001098,P00261542,M,36-45,7,C,4+,1,16570
1001120,P00302642,M,18-25,4,A,0,1,16524
1001142,P00263542,M,18-25,1,B,1,0,16781
1001088,P00090542,F,0-17,10,A,3,0,16641
1001088,P00200142,F,0-17,10,A,3,0,16521
1001088,P00163042,F,0-17,10,A,3,0,12420
1001040,P00288642,M,26-35,11,C,1,1,16832
1001050,P00002342,M,26-35,1,B,1,0,8354
1001284,P00261542,M,46-50,16,A,1,1,16670
1001284,P00036442,M,46-50,16,A,1,1,16479
1001284,P00046942,M,46-50,16,A,1,1,8088
1001284,P00280342,M,46-50,16,A,1,1,12548
1001298,P00263542,M,36-45,6,B,4+,0,20660
1001146,P00259942,F,18-25,16,B,2,1,8446
1001160,P00301542,M,18-25,14,C,1,0,12665
1001160,P00263542,M,18-25,14,C,1,0,12330
1001174,P00115842,F,18-25,16,C,0,0,16381
1001182,P00174842,M,0-17,10,B,3,0,13083
1001198,P00255842,M,0-17,10,C,1,0,20597
1001224,P00174842,M,51-55,13,B,4+,0,12995
1001236,P00288642,F,26-35,1,C,1,0,20609
1001242,P00018542,F,36-45,0,A,0,1,20633
1001260,P00288642,M,26-35,17,B,0,0,16231
1001340,P00001842,M,26-35,7,A,2,0,4107
1001354,P00302642,F,26-35,2,B,3,0,8535
1001354,P00370142,F,26-35,2,B,3,0,8233
1001396,P00265042,F,26-35,12,A,4+,1,8780
1001422,P00124642,M,36-45,17,B,3,0,12293
1001370,P00279442,M,36-45,2,C,2,1,8607
1001376,P00255842,F,46-50,1,C,1,1,20425
1001380,P00255842,M,0-17,10,C,0,0,16189
1001632,P00255842,M,26-35,16,B,1,0,12134
1001470,P00298542,M,18-25,4,A,1,1,8772
1001484,P00124642,M,26-35,12,C,1,0,16938
1001486,P00300042,M,26-35,16,C,4+,1,16617
1001572,P00263542,F,26-35,3,C,3,1,16793
1001584,P00309342,M,26-35,19,B,4+,0,12391
1001600,P00288742,M,36-45,7,B,1,1,8628
1001680,P00348742,M,26-35,20,A,3,1,20534
1001680,P00327342,M,26-35,20,A,3,1,16678
1001680,P00017842,M,26-35,20,A,3,1,20897
1001724,P00115842,M,18-25,4,C,3,0,16891
1001748,P00036442,M,51-55,1,A,1,1,12868
1001748,P00254942,M,51-55,1,A,1,1,16370
1001680,P00052742,M,26-35,20,A,3,1,16670
1001694,P00255842,M,26-35,12,B,3,1,20809
1001636,P00263442,F,26-35,19,C,0,0,8271
1001912,P00250342,M,26-35,4,A,1,1,8682
1001758,P00207442,F,26-35,0,B,1,0,8252
1001768,P00298542,M,46-50,16,C,1,1,12807
1001778,P00263442,M,18-25,4,B,1,0,16451
1001794,P00355642,M,26-35,11,B,1,0,8409
1001812,P00284942,F,26-35,12,A,4+,1,16415
1001828,P00312842,M,18-25,4,B,1,0,4581
1001842,P00171042,M,18-25,4,B,1,0,20569
1001880,P00115842,M,36-45,0,B,3,1,20882
1001880,P00259942,M,36-45,0,B,3,1,12494
1001884,P00199642,M,46-50,20,B,1,1,12592
1001968,P00115842,M,26-35,11,B,2,0,8176
1001974,P00261542,M,36-45,17,B,1,0,12483
1001980,P00255842,M,36-45,7,A,1,0,20816
1002038,P00331842,F,46-50,1,B,3,1,16229
1002052,P00250342,M,0-17,10,C,0,0,16294
1002056,P00286142,M,26-35,4,B,2,0,16808
1001998,P00174842,F,51-55,9,B,2,1,10482
1001998,P00203142,F,51-55,9,B,2,1,12531
1001954,P00074042,M,26-35,16,C,1,0,4258
1001958,P00284942,F,26-35,1,B,3,0,12757
1002222,P00339442,F,46-50,1,B,2,1,12903
1002222,P00331842,F,46-50,1,B,2,1,4459
1002088,P00339442,M,51-55,7,A,1,1,16489
1002102,P00325242,M,26-35,11,B,3,0,4217
1002104,P00250342,M,46-50,15,C,2,1,16862
1002124,P00331842,M,26-35,0,B,1,1,16662
1002124,P00300042,M,26-35,0,B,1,1,4205
1002164,P00254942,M,36-45,0,B,3,0,12277
1002172,P00031142,M,18-25,20,B,2,0,12677
1002304,P00285242,M,46-50,12,B,2,1,8050
1002304,P00036442,M,46-50,12,B,2,1,16694
1002378,P00325242,M,26-35,3,C,1,1,16564
1002264,P00344542,F,46-50,7,C,1,0,12634
1002272,P00355642,M,26-35,0,C,1,0,16418
1002684,P00255842,F,18-25,0,C,3,1,12555
1002458,P00263542,M,26-35,7,C,3,1,12470
1002458,P00344542,M,26-35,7,C,3,1,8760
1002484,P00348742,M,46-50,5,B,0,0,4179
1002514,P00280342,M,55+,14,A,1,1,16632
1002546,P00277242,F,55+,13,C,4+,0,16836
1002604,P00300042,M,26-35,0,B,1,1,16209
1002638,P00298442,M,26-35,14,B,2,0,12446
1002654,P00300042,F,36-45,9,C,0,1,16866
1004928,P00259942,F,26-35,3,A,4+,0,16647
1004940,P00090542,F,51-55,11,B,1,0,20459
1004948,P00331842,M,46-50,2,A,1,1,16426
1005334,P00012842,F,55+,13,C,4+,1,4242
1004252,P00284942,F,36-45,3,B,3,0,4289
1004268,P00288642,F,46-50,20,B,3,0,4184
1004546,P00255842,M,26-35,7,C,1,1,20437
1004962,P00255842,M,26-35,6,B,1,0,20832
1005346,P00255842,F,26-35,3,A,2,0,16255
1005350,P00255842,M,18-25,5,A,1,0,20693
1004578,P00163042,M,26-35,0,A,4+,0,4763
1004976,P00031142,M,26-35,11,C,4+,1,20869
1004986,P00325242,M,18-25,12,C,0,0,16497
1004986,P00255842,M,18-25,12,C,0,0,16622
1005360,P00255842,M,18-25,12,C,2,0,20580
1005364,P00255842,F,26-35,3,A,3,0,20426
1005364,P00284942,F,26-35,3,A,3,0,12828
1005378,P00301542,M,36-45,18,A,1,0,12574
1005000,P00259942,M,26-35,4,B,4+,0,20751
1005002,P00259942,M,26-35,17,B,1,1,12382
1005394,P00090542,M,18-25,0,A,2,0,16751
1004306,P00331842,M,46-50,7,C,1,1,20295
1004308,P00301542,M,26-35,0,C,4+,0,8078
1004312,P00052742,M,26-35,18,A,0,1,12314
1005026,P00174842,M,26-35,17,B,1,1,12839
1005026,P00265042,M,26-35,17,B,1,1,4601
1005472,P00300942,M,36-45,1,C,0,1,8749
1004346,P00301542,M,18-25,17,B,2,1,16417
1004354,P00200142,M,36-45,14,B,2,0,16282
1005076,P00255842,M,26-35,3,B,4+,0,20226
1005434,P00018542,F,26-35,7,A,1,1,20890
1004698,P00255842,F,26-35,6,B,2,1,20761
1005090,P00124642,F,36-45,19,B,3,1,20603
1005098,P00200342,M,51-55,7,C,4+,1,16248
1005098,P00261542,M,51-55,7,C,4+,1,12482
1005100,P00280342,M,51-55,6,B,1,1,16928
1005482,P00255842,M,18-25,7,A,1,0,12855
1005492,P00250342,M,18-25,4,A,4+,1,4706
1005492,P00064142,M,18-25,4,A,4+,1,8514
1004404,P00359142,M,26-35,1,B,1,0,8083
1004726,P00255842,F,36-45,16,C,2,1,20198
1004726,P00300042,F,36-45,16,C,2,1,16720
1004732,P00149842,M,26-35,14,B,2,1,20231
1004062,P00355642,M,26-35,7,C,1,0,16642
1004064,P00288742,M,46-50,0,A,1,1,8587
1004064,P00348742,M,46-50,0,A,1,1,16788
1004068,P00255842,M,55+,3,C,2,1,20965
1004406,P00300042,M,26-35,16,B,2,1,16487
1004422,P00279442,M,26-35,5,A,1,1,20284
1004768,P00157242,M,26-35,4,A,1,1,12454
1004772,P00261542,M,55+,17,C,2,0,16769
1004774,P00261542,M,46-50,14,C,4+,1,20606
1004780,P00031142,M,26-35,12,A,3,0,16227
1005120,P00344542,M,51-55,7,A,2,0,16902
1005122,P00255842,M,26-35,0,A,3,0,20657
1005136,P00115842,M,26-35,12,B,1,0,12805
1005138,P00288642,M,26-35,17,B,0,0,8093
1005146,P00288642,M,55+,1,A,0,0,16831
1004082,P00288642,M,26-35,20,B,4+,0,16687
1004088,P00332442,M,26-35,3,B,4+,1,12794
1004790,P00046942,F,26-35,2,A,4+,1,16620
1005164,P00246942,F,36-45,17,A,0,0,7809
1005170,P00031142,M,18-25,4,B,2,0,16834
1004448,P00312842,M,26-35,14,A,0,0,16628
1004452,P00255842,F,26-35,7,B,2,1,16393
1004454,P00355642,M,26-35,20,C,1,0,4052
1004458,P00312842,F,26-35,4,B,1,0,8099
1004802,P00246942,M,55+,1,B,3,1,12840
1005182,P00288642,F,36-45,7,B,4+,1,16723
1004126,P00302642,M,26-35,17,B,1,0,16147
1004472,P00250342,F,46-50,16,B,0,1,12719
1004472,P00344542,F,46-50,16,B,0,1,12201
1004472,P00279442,F,46-50,16,B,0,1,16343
1005220,P00348742,M,26-35,7,B,4+,0,16435
1005220,P00288742,M,26-35,7,B,4+,0,12613
1005228,P00255842,M,0-17,0,C,4+,0,16459
1004150,P00124642,M,26-35,0,B,3,0,12381
1004156,P00246842,M,55+,20,B,1,0,10516
1004482,P00255842,F,36-45,1,A,1,0,16787
1004848,P00279442,F,36-45,6,C,3,0,16660
1004848,P00255842,F,36-45,6,C,3,0,20535
1004852,P00115842,M,36-45,0,C,3,1,12523
1005248,P00255842,F,46-50,14,B,1,1,16552
1004888,P00090542,F,55+,0,B,4+,0,20843
1005282,P00255842,F,18-25,4,B,1,1,8765
1004514,P00255842,M,18-25,3,C,2,1,16496
1004526,P00348742,M,26-35,20,B,2,1,16409
1004898,P00054842,M,26-35,1,B,1,1,8592
1004898,P00090542,M,26-35,1,B,1,1,16625
1004918,P00255842,F,18-25,12,C,1,0,20183
1005306,P00327342,F,26-35,17,B,4+,0,16194
1005306,P00332442,F,26-35,17,B,4+,0,16183
1005312,P00255842,M,26-35,1,A,1,0,16663
1004238,P00074042,M,36-45,16,B,3,0,12426
1004238,P00207442,M,36-45,16,B,3,0,12406
1003612,P00231242,M,26-35,14,C,1,1,12147
1003618,P00263442,M,55+,17,A,4+,1,8413
1003618,P00031142,M,55+,17,A,4+,1,12282
1003618,P00284942,M,55+,17,A,4+,1,12540
1003924,P00090542,M,51-55,12,C,1,1,20530
1003924,P00298442,M,51-55,12,C,1,1,12767
1003296,P00263542,M,18-25,14,A,1,1,20937
1003300,P00300942,M,36-45,5,B,1,0,20641
1003624,P00250342,M,26-35,12,B,0,1,16747
1003624,P00263442,M,26-35,12,B,0,1,20321
1003934,P00207442,M,26-35,0,B,2,0,8086
1003942,P00152542,M,18-25,4,B,4+,0,8662
1003942,P00124642,M,18-25,4,B,4+,0,12793
1003942,P00284942,M,18-25,4,B,4+,0,8686
1003942,P00325242,M,18-25,4,B,4+,0,4630
1003308,P00344542,F,18-25,20,B,3,1,20259
1003308,P00302642,F,18-25,20,B,3,1,8806
1003656,P00359142,F,46-50,5,C,3,1,12292
1003962,P00288642,F,55+,0,A,4+,0,16349
1002962,P00301542,M,36-45,3,A,2,0,8600
1003670,P00355642,M,46-50,14,C,2,0,12265
1003972,P00298442,F,26-35,6,C,3,0,16558
1003978,P00199842,M,36-45,13,C,2,1,16241
1003992,P00288642,M,26-35,4,B,1,0,16468
1002980,P00200342,M,46-50,7,C,4+,1,16773
1002986,P00047742,M,26-35,4,A,2,1,12150
1003340,P00300042,M,46-50,16,C,1,1,16534
1003362,P00231242,F,26-35,0,C,2,1,4546
1003684,P00279442,M,26-35,17,C,4+,1,20593
1003012,P00263442,M,26-35,12,C,1,1,4414
1003704,P00124642,F,36-45,0,C,4+,1,16432
1004004,P00312842,M,51-55,0,C,1,1,4737
1003014,P00298542,M,36-45,7,B,4+,1,16830
1003026,P00090542,F,18-25,4,B,1,0,20315
1003410,P00285242,M,36-45,1,B,3,1,8093
1004016,P00285242,M,51-55,0,B,1,0,7872
1004022,P00255842,M,36-45,14,B,1,1,20593
1004024,P00279442,M,26-35,5,B,3,1,8657
1003032,P00359142,M,26-35,0,A,1,1,16147
1003410,P00207442,M,36-45,1,B,3,1,4617
1003412,P00279442,M,26-35,18,C,1,0,12331
1003728,P00279442,M,18-25,4,B,1,0,20328
1003754,P00298542,M,55+,7,C,1,1,16133
1003060,P00259942,F,36-45,1,C,3,1,12272
1003436,P00279442,M,36-45,0,C,1,0,16903
1003440,P00250342,M,55+,17,C,3,0,16353
1003442,P00312842,M,18-25,12,B,3,0,16521
1003444,P00200142,M,51-55,14,C,1,1,8778
1003762,P00152542,M,51-55,6,B,0,1,12822
1003762,P00200142,M,51-55,6,B,0,1,12472
1002726,P00339442,M,46-50,11,C,1,1,16913
1003080,P00331842,M,26-35,20,A,4+,1,16684
1003080,P00261542,M,26-35,20,A,4+,1,16824
1003462,P00344542,F,26-35,4,B,3,0,12413
1003464,P00327342,F,26-35,14,B,4+,1,16682
1003464,P00288642,F,26-35,14,B,4+,1,20504
1003772,P00231242,M,36-45,17,B,0,1,16839
1003776,P00302642,F,26-35,4,B,0,0,12426
1002748,P00115842,M,26-35,4,B,1,0,20348
1002760,P00288642,M,55+,0,C,1,0,20529
1003112,P00255842,M,18-25,12,A,3,0,16851
1003476,P00174842,M,51-55,0,B,2,1,12962
1003480,P00174842,M,26-35,0,C,0,0,10501
1003490,P00086942,M,26-35,0,C,4+,1,16714
1003792,P00344542,M,26-35,6,A,1,0,16589
1003798,P00359142,M,26-35,7,C,3,0,8132
1003808,P00288742,M,26-35,7,A,2,1,16164
1003808,P00002342,M,26-35,7,A,2,1,16751
1003808,P00012842,M,26-35,7,A,2,1,12838
1003808,P00163042,M,26-35,7,A,2,1,12134
1003140,P00255842,F,26-35,4,C,1,0,20616
1003492,P00355642,M,36-45,7,B,2,0,12225
1003808,P00298442,M,26-35,7,A,2,1,20389
1002790,P00047742,M,26-35,20,A,3,0,16261
1002800,P00312842,F,18-25,4,C,1,0,8330
1003168,P00263442,F,36-45,5,C,4+,1,4145
1003172,P00255842,M,18-25,12,A,0,0,16920
1002810,P00359142,F,0-17,10,B,2,0,12829
1002814,P00255842,M,36-45,7,B,1,0,20762
1002814,P00344542,M,36-45,7,B,1,0,12662
1002818,P00046942,M,26-35,12,B,2,0,16560
1002820,P00261542,F,36-45,0,A,2,0,12888
1002822,P00090542,M,51-55,7,B,2,1,12400
1003526,P00279442,M,36-45,2,B,1,1,16688
1003842,P00047742,F,36-45,16,B,4+,0,12507
1003842,P00231242,F,36-45,16,B,4+,0,8164
1003850,P00312842,M,18-25,3,B,0,0,16323
1003850,P00344542,M,18-25,3,B,0,0,16290
1003850,P00012842,M,18-25,3,B,0,0,16849
1003854,P00332442,M,26-35,14,C,1,1,8341
1002830,P00300042,M,36-45,7,B,0,0,12422
1003222,P00115842,M,36-45,7,C,4+,1,16179
1003224,P00298442,F,26-35,14,A,3,1,16578
1003224,P00001842,F,26-35,14,A,3,1,12368
1003224,P00265042,F,26-35,14,A,3,1,16748
1003224,P00284242,F,26-35,14,A,3,1,16191
1003546,P00115842,M,26-35,20,B,3,0,12725
1003866,P00327342,M,46-50,14,C,3,1,16878
1003866,P00250342,M,46-50,14,C,3,1,16151
1003878,P00288642,M,36-45,16,B,4+,0,16183
1003580,P00225442,F,18-25,3,C,0,0,16254
1002890,P00355642,M,36-45,7,B,2,1,12778
1003264,P00359142,F,26-35,1,C,0,1,4108
1003272,P00298442,M,36-45,0,B,1,0,16775
1003610,P00090542,M,18-25,6,B,4+,0,4420
1001716,P00263442,M,26-35,0,B,0,0,16294
1001420,P00344542,M,18-25,4,C,3,0,12657
1001422,P00331842,M,36-45,17,B,3,0,12815
1001748,P00061442,M,51-55,1,A,1,1,13107
1001752,P00149842,M,26-35,3,B,1,0,20570
1001128,P00200342,M,26-35,1,A,2,0,16357
1001436,P00250342,F,51-55,6,B,1,1,16902
1001440,P00261542,M,36-45,12,C,1,0,12551
1001448,P00301542,F,26-35,3,A,1,0,4521
1002098,P00279442,M,36-45,20,A,0,1,8738
1001146,P00327342,F,18-25,16,B,2,1,16659
1001150,P00284942,F,26-35,20,A,1,0,4716
1001150,P00199942,F,26-35,20,A,1,0,8720
1001150,P00261542,F,26-35,20,A,1,0,12803
1001448,P00344542,F,26-35,3,A,1,0,16842
1001448,P00327342,F,26-35,3,A,1,0,16638
1001448,P00157042,F,26-35,3,A,1,0,16445
1002106,P00064142,F,18-25,20,A,3,1,8446
1001164,P00263442,F,26-35,19,A,1,1,8225
1001470,P00203142,M,18-25,4,A,1,1,12379
1001812,P00312842,F,26-35,12,A,4+,1,16155
1001182,P00255842,M,0-17,10,B,3,0,12191
1001494,P00115842,M,26-35,17,C,3,1,16686
1001502,P00279442,M,18-25,4,C,3,0,16664
1001836,P00031142,M,26-35,0,A,4+,0,16346
1002116,P00263542,M,18-25,4,B,4+,1,20719
1002116,P00231242,M,18-25,4,B,4+,1,8582
1002116,P00132442,M,18-25,4,B,4+,1,8277
1001530,P00255842,M,26-35,4,A,1,1,16238
1002140,P00255842,M,46-50,14,C,2,1,16904
1001224,P00280342,M,51-55,13,B,4+,0,16225
1001554,P00115842,F,36-45,12,C,3,1,16282
1001560,P00279442,F,26-35,3,B,2,0,4217
1002188,P00263442,F,18-25,19,B,4+,0,4163
1002192,P00255842,F,26-35,0,B,2,0,16641
1001260,P00261542,M,26-35,17,B,0,0,16740
1001264,P00072342,M,26-35,1,A,3,0,10586
1001264,P00124642,M,26-35,1,A,3,0,16665
1001586,P00090542,M,46-50,7,B,2,1,20515
1001902,P00064142,M,26-35,19,C,1,0,12787
1001904,P00255842,M,18-25,1,B,4+,0,16874
1001904,P00250342,M,18-25,1,B,4+,0,12219
1000952,P00115842,M,55+,16,C,0,1,16800
1000958,P00348742,M,36-45,2,C,3,0,16512
1001266,P00259942,M,26-35,4,B,0,1,16445
1001268,P00298442,M,51-55,2,B,1,1,12806
1001274,P00327342,M,46-50,7,B,4+,1,12558
1001600,P00255842,M,36-45,7,B,1,1,16417
1001600,P00231242,M,36-45,7,B,1,1,12153
1001602,P00265042,F,26-35,7,C,2,1,12108
1001920,P00331842,F,36-45,7,B,1,0,8822
1001922,P00255842,F,26-35,7,B,4+,0,20882
1000970,P00036442,M,26-35,0,B,4+,1,12749
1000970,P00052742,M,26-35,0,B,4+,1,12624
1000980,P00255842,M,26-35,6,C,2,1,20748
1000984,P00200042,M,51-55,16,A,2,1,12779
1001284,P00344542,M,46-50,16,A,1,1,16676
1001284,P00152542,M,46-50,16,A,1,1,16344
1001306,P00325242,M,26-35,3,B,3,0,12476
1001630,P00327342,M,46-50,17,C,1,0,16764
1001954,P00255842,M,26-35,16,C,1,0,16607
1001958,P00207442,F,26-35,1,B,3,0,16346
1001958,P00355642,F,26-35,1,B,3,0,20505
1001958,P00152542,F,26-35,1,B,3,0,12389
1001962,P00047742,F,18-25,1,B,0,1,12831
1001968,P00010142,M,26-35,11,B,2,0,8493
1001968,P00052742,M,26-35,11,B,2,0,4244
1001980,P00355642,M,36-45,7,A,1,0,4769
1001676,P00210742,M,18-25,4,B,4+,0,8281
1001980,P00054142,M,36-45,7,A,1,0,12388
1001988,P00124642,F,26-35,1,B,2,0,12264
1001998,P00255842,F,51-55,9,B,2,1,16915
1001680,P00355642,M,26-35,20,A,3,1,16315
1001680,P00207442,M,26-35,20,A,3,1,16548
1001688,P00250342,F,18-25,4,C,4+,0,12802
1001692,P00115842,M,36-45,20,A,4+,1,12858
1001694,P00279742,M,26-35,12,B,3,1,16690
1001084,P00124642,M,0-17,19,C,0,0,12415
1001088,P00202942,F,0-17,10,A,3,0,12564
1001392,P00255842,M,46-50,3,C,1,1,16207
1002022,P00255842,M,26-35,7,C,1,0,20835
1001112,P00288642,M,18-25,6,A,4+,0,16604
1001112,P00124642,M,18-25,6,A,4+,0,16373
1000386,P00115842,M,26-35,0,A,1,1,12346
1000754,P00325242,M,36-45,7,C,3,0,16922
1000754,P00263542,M,36-45,7,C,3,0,16582
1005660,P00255842,M,26-35,2,C,3,1,16720
1005682,P00250342,M,18-25,0,B,2,0,20541
1006036,P00250342,F,26-35,15,B,4+,1,8593
1000406,P00331842,M,26-35,20,A,3,0,12342
1000408,P00331842,M,26-35,11,A,0,0,20933
1000424,P00199642,M,26-35,17,A,3,0,16878
1000424,P00280342,M,26-35,17,A,3,0,20782
1000022,P00312842,M,18-25,15,A,4+,0,4546
1000036,P00255842,M,26-35,3,B,0,0,20485
1000424,P00298542,M,26-35,17,A,3,0,16613
1000802,P00279442,M,26-35,16,B,1,0,16558
1005716,P00279442,M,0-17,10,C,4+,0,8595
1005722,P00199842,M,26-35,20,A,2,1,12888
1000048,P00255842,M,26-35,4,B,3,1,16355
1000456,P00255842,M,36-45,0,A,0,0,16761
1000474,P00046942,M,26-35,17,B,1,0,20905
1000474,P00284942,M,26-35,17,B,1,0,12604
1000850,P00302642,M,36-45,0,A,3,1,12764
1005738,P00300042,M,26-35,12,A,1,1,8342
1005746,P00255842,M,18-25,15,B,2,0,16594
1000062,P00115842,F,36-45,3,A,1,0,12794
1000482,P00052742,M,26-35,14,A,2,1,8491
1000506,P00255842,M,26-35,16,C,1,0,20343
1000894,P00312842,M,18-25,4,C,0,0,12172
1000520,P00300042,F,36-45,20,A,2,0,12274
1005780,P00124642,M,18-25,17,B,1,0,16743
1005794,P00263542,M,36-45,17,A,1,0,20874
1005812,P00288642,F,26-35,7,A,1,1,16888
1000548,P00115842,F,36-45,16,C,1,1,20199
1000930,P00279442,M,26-35,5,C,1,1,8485
1000940,P00263442,M,0-17,10,C,4+,0,8097
1000944,P00279442,M,36-45,0,A,3,1,12821
1005818,P00255842,M,26-35,4,C,0,0,12607
1005824,P00298442,M,18-25,12,B,1,0,12245
1005824,P00259942,M,18-25,12,B,1,0,12376
1005504,P00246942,M,46-50,7,B,1,1,10245
1005514,P00255842,F,0-17,10,C,3,0,20313
1005852,P00200142,F,26-35,1,A,0,1,16424
1005854,P00124642,M,46-50,7,B,0,1,16312
1000204,P00263542,M,26-35,7,B,1,1,12231
1000604,P00355642,M,46-50,17,C,2,1,16577
1005528,P00284242,M,51-55,1,C,3,1,16379
1000212,P00132442,M,26-35,16,C,3,0,16763
1000216,P00203142,M,46-50,13,B,1,0,16410
1000624,P00255842,M,26-35,1,B,3,0,16496
1000630,P00288642,F,36-45,14,C,2,0,16256
1005536,P00002342,M,26-35,16,B,2,1,4042
1005538,P00200042,M,46-50,12,B,2,1,16202
1005548,P00302642,F,18-25,4,A,4+,0,8591
1000652,P00250342,M,18-25,20,C,3,0,12402
1000664,P00355642,M,36-45,18,C,2,1,20862
1005566,P00339442,M,36-45,7,C,2,0,16173
1000264,P00288642,M,36-45,0,B,1,1,4506
1000264,P00285242,M,36-45,0,B,1,1,8007
1000272,P00300042,M,18-25,0,A,1,0,16898
1000272,P00036442,M,18-25,0,A,1,0,16658
1005594,P00360542,F,46-50,0,B,1,1,20900
1005950,P00255842,M,26-35,4,B,2,1,16553
1000710,P00279442,M,26-35,20,A,4+,0,16720
1000710,P00124642,M,26-35,20,A,4+,0,16432
1005604,P00288642,M,36-45,15,C,3,0,16734
1005604,P00090542,M,36-45,15,C,3,0,16623
1005972,P00327342,F,26-35,20,B,0,0,20802
1000308,P00302642,M,26-35,2,A,3,1,12423
1000308,P00284942,M,26-35,2,A,3,1,8796
1000714,P00279442,M,18-25,4,B,2,0,12353
1000724,P00370142,M,51-55,13,B,2,1,12257
1005994,P00301542,M,36-45,1,C,2,1,16551
1006002,P00246842,M,51-55,0,C,1,1,10358
1000746,P00279442,F,18-25,19,B,3,0,12446
1005640,P00263442,M,36-45,17,C,0,0,12613
1005648,P00250342,M,26-35,17,C,1,0,16508
1005648,P00255842,M,26-35,17,C,1,0,20318
1006004,P00263442,F,26-35,15,C,2,0,20450
1000352,P00279442,M,18-25,4,A,0,0,12505
1000370,P00279442,M,18-25,17,C,3,0,16928
1004510,P00052742,M,46-50,7,A,4+,1,4117
1004510,P00231242,M,46-50,7,A,4+,1,4234
1004514,P00300042,M,18-25,3,C,2,1,8533
1004520,P00031142,M,26-35,4,C,1,1,12554
1004520,P00207442,M,26-35,4,C,1,1,16398
1004522,P00301542,M,46-50,1,C,0,1,12206
1004524,P00302642,M,26-35,2,A,2,1,16645
1004946,P00174842,F,36-45,1,B,1,0,12760
1004948,P00261542,M,46-50,2,A,1,1,16133
1003912,P00250342,M,26-35,4,A,2,0,20692
1004238,P00298442,M,36-45,16,B,3,0,20234
1004238,P00300942,M,36-45,16,B,3,0,16861
1004586,P00263442,M,26-35,4,C,4+,0,4127
1003934,P00255842,M,26-35,0,B,2,0,16655
1003934,P00344542,M,26-35,0,B,2,0,12882
1003934,P00284342,M,26-35,0,B,2,0,16885
1003934,P00157242,M,26-35,0,B,2,0,8458
1004274,P00250342,F,46-50,1,C,3,1,8551
1004280,P00288642,M,36-45,17,C,2,0,16795
1004292,P00288642,M,26-35,0,C,3,1,16238
1005080,P00255842,F,51-55,12,B,2,1,20633
